sku_id,tienda_id,fecha,region,ciudad,distrito,formato_tienda,canal_venta,cluster_tienda,segmento_cliente_principal,categoria,subcategoria,marca,proveedor,sku_estado,precio_lista,precio_venta,costo_unitario,margen_pct,descuento_pct,stock_actual,stock_seguridad,inventario_transito,dias_inventario,ventas_unidades_7d,ventas_unidades_30d,ventas_valor_30d,unidades_devueltas_30d,rotacion_30d,forecast_7d,forecast_30d,error_forecast_pct,quiebres_7d,quiebres_30d,visitas_tienda_30d,tickets_30d,tasa_conversion_pct,share_categoria_pct,competencia_precio_prom,precio_vs_competencia_pct,elasticidad_precio,promo_activa,tipo_promo,dias_promo_mes,inversion_trade,exhibicion_secundaria,espacio_gondola_cm,puntaje_planograma,cumplimiento_sla_pct,fill_rate_pct,lead_time_dias,frecuencia_reposicion_dias,temperatura_promedio,lluvia_mm_mes,feriado_mes,evento_local,campania_marketing,canal_abastecimiento,nivel_socioeconomico_zona,distancia_cd_km,capacidad_bodega_m3,merma_pct,vencimiento_dias,vida_util_dias,reclamos_30d,rating_cliente,score_tendencia_categoria,prioridad_comercial,riesgo_quiebre_score,target_reponer_sku
SKU-0655,TDA-029,2025-02-17,Lima,Callao,SJL,Supermercado,Tradicional,Bajo valor,Mascotas,Lacteos,Yogurt,Marca_E,Proveedor_Local,Activo,6.72,6.72,5.85,0.13,0.0,31,24,14,10.4,23,89,598.08,1,2.87,21,82,0.08,0,1,1962,917,0.467,0.141,5.94,0.131,-2.29,0,Sin promo,0,0.0,0,116.6,0.89,0.917,0.856,7,3,24.1,182.5,0,Campana escolar,Trade marketing,CD Regional,D,40.9,33.5,0.023,39,45,2,3.7,0.484,Alta,31.3,0
SKU-0272,TDA-036,2025-01-25,Lima,Callao,Industrial,Bodega,Tradicional,Alto valor,Ahorro,Snacks,Galletas,Marca_E,Proveedor_Local,Activo,10.54,9.49,6.07,0.36,0.1,0,18,2,0.0,19,74,702.26,2,74.0,19,75,0.01,1,5,1633,461,0.282,0.126,9.58,-0.009,-2.49,1,Combo,19,3833.61,0,37.0,0.79,0.947,0.847,4,4,20.2,35.5,0,Fiesta local,Ninguna,Proveedor directo,C,96.9,48.7,0.079,31,120,0,3.2,0.217,Alta,93.7,1
SKU-0033,TDA-221,2025-08-31,Lima,Lima,Surco,Minimarket,Moderno,Medio valor,Familias,Bebidas,Jugos,Marca_E,Proveedor_Local,Activo,6.84,6.29,4.53,0.28,0.08,27,14,0,15.9,14,51,320.79,1,1.89,18,60,0.18,0,4,3147,990,0.315,0.172,6.52,-0.035,-1.95,1,2x1,17,4059.31,0,35.7,0.8,0.866,0.704,2,14,30.7,36.6,0,Ninguno,Influencers,CD Central,B,3.8,51.7,0.074,210,730,1,4.0,0.312,Media,42.8,0
SKU-0245,TDA-068,2025-02-07,Lima,Callao,La Molina,Supermercado,Tradicional,Alto valor,Familias,Bebidas,Isotonicas,Marca_E,Proveedor_Norte,Temporal,5.23,5.23,4.34,0.17,0.0,8,13,5,3.0,19,81,423.63,3,10.12,15,68,0.16,1,5,4598,1241,0.27,0.259,6.26,-0.165,-2.2,0,Sin promo,0,0.0,1,37.1,0.75,0.794,0.875,12,7,16.5,139.5,0,Ninguno,Ninguna,CD Central,C,705.3,12.9,0.027,39,60,0,4.1,0.391,Media,74.5,1
SKU-0423,TDA-007,2025-01-20,Lima,Callao,Comas,Minimarket,Mayorista,Descuento,Jovenes,Limpieza,Desinfectante,Marca_B,Proveedor_Andes,Activo,39.49,28.04,19.91,0.29,0.29,28,4,9,27.1,7,31,869.24,1,1.11,5,25,0.19,1,5,1666,465,0.279,0.03,46.38,-0.395,-1.93,1,Cupon,11,287.46,0,75.3,0.87,0.838,0.985,2,8,31.8,41.8,1,Ninguno,Trade marketing,CD Regional,C,61.3,82.4,0.026,120,180,0,4.6,0.317,Media,41.2,0
SKU-0241,TDA-173,2025-10-22,Lima,Lima,Los Olivos,Hipermercado,Moderno,Bajo valor,Ahorro,Abarrotes,Arroz,Marca_D,Proveedor_Local,Nuevo,10.03,10.03,7.02,0.3,0.0,38,20,13,14.6,17,78,782.34,1,2.05,18,91,0.17,1,1,2203,477,0.217,0.068,10.25,-0.021,-1.33,0,Sin promo,0,0.0,0,70.8,0.86,0.839,0.936,9,8,30.3,120.5,0,Concierto,Influencers,Cross docking,B,211.7,79.4,0.061,459,730,0,3.7,-0.273,Media,17.2,0
SKU-0226,TDA-125,2025-03-07,Lima,Callao,La Molina,Hipermercado,Moderno,Alto valor,Ahorro,Lacteos,Mantequilla,Marca_Propia,Proveedor_Pacifico,Nuevo,19.67,19.67,10.82,0.45,0.0,11,17,5,4.7,13,70,1376.9,1,6.36,21,73,0.04,1,3,4654,1888,0.406,0.319,18.56,0.06,-2.32,0,Sin promo,0,0.0,1,106.3,0.99,0.814,0.889,11,2,28.6,208.9,0,Ninguno,Digital,CD Regional,B,569.7,71.2,0.017,93,120,0,3.4,-0.235,Baja,64.0,1
SKU-0651,TDA-229,2025-10-31,Centro,Huancayo,Comas,Supermercado,Tradicional,Bajo valor,Jovenes,Lacteos,Mantequilla,Marca_D,Proveedor_Local,Activo,7.56,7.56,4.38,0.42,0.0,20,15,9,10.7,11,56,423.36,2,2.8,16,72,0.29,0,3,3462,977,0.282,0.337,8.39,-0.099,-1.89,0,Sin promo,0,0.0,1,171.7,0.5,0.914,0.842,4,13,22.5,156.6,0,Ninguno,TV,CD Regional,C,208.3,82.4,0.03,78,180,2,5,-0.019,Baja,20.4,0
SKU-0894,TDA-004,2025-02-07,Norte,Chiclayo,La Molina,Bodega,Moderno,Alto valor,Ahorro,Bebidas,Isotonicas,Marca_A,Proveedor_Andes,Activo,5.46,5.46,4.53,0.17,0.0,0,19,0,0.0,16,82,447.72,1,82.0,20,77,0.06,4,6,688,301,0.438,0.376,5.26,0.038,-1.13,0,Sin promo,0,0.0,0,138.4,0.96,0.776,0.761,11,3,15.5,38.2,1,Ninguno,Influencers,Cross docking,B,198.3,87.2,0.056,55,730,0,4.0,0.24,Baja,84.4,1
SKU-0022,TDA-196,2025-08-12,Sur,Cusco,Industrial,Hipermercado,Tradicional,Alto valor,Premium,Abarrotes,Conservas,Marca_C,,Temporal,23.68,23.68,20.13,0.15,0.0,34,41,10,7.7,30,132,3125.76,5,3.88,35,130,0.02,1,5,4209,1076,0.256,0.062,26.9,-0.12,-0.6,0,Sin promo,0,0.0,0,20.2,0.92,0.845,0.716,9,7,25.7,109.7,0,Ninguno,TV,CD Regional,E,373.5,86.2,0.01,65,90,0,4.2,-0.336,Media,64.4,1
SKU-0676,TDA-126,2025-12-24,Centro,Ica,Centro,Bodega,Moderno,Bajo valor,Jovenes,Limpieza,Papel,Marca_D,Proveedor_Global,Nuevo,15.31,15.31,8.73,0.43,0.0,13,6,0,13.0,4,16,244.96,1,1.23,5,21,0.31,0,4,1250,587,0.47,0.14,13.58,0.127,-0.64,0,Sin promo,0,0.0,1,165.7,0.46,0.759,0.953,3,3,22.3,213.2,0,Ninguno,CRM,CD Central,D,724.8,104.2,0.03,114,180,3,3.4,0.267,Media,35.4,0
SKU-0262,TDA-171,2025-08-06,Lima,Callao,Surco,Minimarket,Moderno,Conveniencia,Jovenes,Abarrotes,Fideos,Marca_E,Proveedor_Global,Activo,25.4,25.4,19.56,0.23,0.0,8,11,17,5.3,14,45,1143.0,0,5.62,12,57,0.27,1,4,1642,633,0.386,0.288,22.05,0.152,-1.17,0,Sin promo,0,0.0,0,164.7,0.6,0.936,0.876,6,5,26.0,136.6,0,Concierto,CRM,CD Regional,C,768.1,80.4,0.025,27,730,1,4.8,-0.219,Baja,61.2,1
SKU-0127,TDA-117,2025-10-15,Lima,Callao,Industrial,Bodega,Tradicional,Descuento,Familias,Snacks,Galletas,Marca_D,Proveedor_Andes,Activo,4.94,4.94,3.21,0.35,0.0,0,5,7,0.0,8,30,148.2,0,30.0,7,35,0.17,3,6,1615,510,0.316,0.261,5.56,-0.112,-0.42,0,Sin promo,0,0.0,0,138.8,0.53,0.832,0.729,8,11,21.0,209.3,1,Ninguno,Influencers,Cross docking,E,727.4,19.1,0.055,14,180,0,5,0.474,Alta,88.6,1
SKU-0272,TDA-014,2025-09-15,Lima,Callao,Centro,Hipermercado,Moderno,Medio valor,Mascotas,Abarrotes,Fideos,Marca_E,Proveedor_Norte,Activo,10.87,10.87,6.74,0.38,0.0,39,23,10,14.3,25,82,891.34,1,2.1,22,95,0.16,0,3,3672,1652,0.45,0.136,9.84,0.105,-2.22,0,Sin promo,0,0.0,0,113.7,0.83,0.823,0.873,5,9,23.1,94.6,0,Ninguno,CRM,CD Regional,C,755.1,54.3,0.066,154,365,0,3.5,0.077,Media,21.4,0
